x,pdf
1.1001001001001003,0.6054063351349693
1.1071071071071072,0.6044737923974834
1.1141141141141142,0.6034882739778383
1.1211211211211212,0.6024503464135209
1.1281281281281283,0.6013605822077607
1.1351351351351353,0.6002195596392135
1.1421421421421423,0.5990278625714356
1.1491491491491492,0.5977860802622161
1.1561561561561562,0.5964948071728361
1.1631631631631634,0.5951546427773207
1.1701701701701703,0.5937661913717525
1.1771771771771773,0.5923300618837096
1.1841841841841843,0.5908468676818978
1.1911911911911914,0.5893172263860361
1.1981981981981984,0.5877417596770681
1.2052052052052054,0.5861210931077521
1.2122122122122123,0.5844558559137039
1.2192192192192193,0.5827466808249453
1.2262262262262265,0.5809942038780264
1.2332332332332334,0.5791990642287778
1.2402402402402404,0.5773619039657556
1.2472472472472473,0.5754833679244363
